Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
ACCOLADE CORPORATE SERVICES LIMITED ,卓遠企業服務有限公司 ,"453,330.00",19
,,,
ACCOMPLISH CONSTRUCTION COMPANY LIMITED ,達成建築有限公司 ,"48,300.00",3
,,,
ACCORD CONSTRUCTION & DECORATION CO ,雅閣建築裝修工程公司 ,"125,775.00",5
,,,
ACCORD UNIFORMS PRODUCTION LIMITED ,雅國制服有限公司 ,"45,210.00",2
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
ACCOUNT SUCCESS ACCOUNTANCY SERVICES LIMITED ,俊業會計服務有限公司 ,"27,000.00",1
,,,
ACCOUNTING AND SECRETARIAL SERVICES LIMITED ,,"54,000.00",2
,,,
ACCOUNTING BUSINESS CONSULTANT & COMPANY LIMITED ,商業會計事務有限公司 ,"108,000.00",4
,,,
ACCPRO CORPORATE SERVICES LIMITED ,嘉信企業管理有限公司 ,"27,000.00",1
,,,
ACCTAX COMPANY SECRETARY LIMITED ,日邦公司秘書有限公司 ,"100,500.00",4
,,,
ACCTAX CONSULTANCY LIMITED ,俊佳顧問有限公司 ,"27,000.00",1
,,,
ACCUMULATE PROFITS TRADE CO. ,盈利多貿易公司 ,"21,000.00",2
,,,
ACCURACY ACCOUNTING & SECRETARIAL SERVICES CO ,,"27,000.00",1
,,,
ACCURACY CORPORATE SERVICES LIMITED ,鑑準企業服務有限公司 ,"50,700.00",2
,,,
ACCUTONE HONG KONG LIMITED ,雅仕東香港有限公司 ,"18,375.00",1
,,,
ACE CREATION TECHNOLOGY SYSTEM COMPANY LIMITED ,創鋒科技系統有限公司 ,"108,000.00",4
,,,
ACE GIANT LIMITED ,亨仕有限公司 ,"43,224.00",2
,,,
ACE LEARNING METHODS LIMITED ,智群教學有限公司 ,"27,000.00",1
,,,
ACE MIND LIMITED ,君權有限公司 ,"30,000.00",2
,,,
ACEBRIGHT HOLDING LIMITED ,,"54,000.00",2
,,,
ACECHEM (HK) LIMITED ,,"54,000.00",2
,,,
ACEGLORY INVESTMENT LIMITED ,良盛投資有限公司 ,"27,000.00",1
,,,
ACEL CORPORATE SERVICES LIMITED ,匯展商務有限公司 ,"29,250.00",2
,,,
ACELUXE LIMITED ,愛樂有限公司 ,"907,395.00",35
,,,
ACER COMPUTER (FAR EAST) LIMITED ,宏碁電腦(遠東)有限公司 ,"1,290,486.00",46
,,,
ACES SUMMIT LIMITED ,,"76,500.00",3
,,,
ACESO MEDICAL CENTRE LIMITED ,希思醫療中心有限公司 ,"81,000.00",3
,,,
ACESTAR CONCEPT LIMITED ,益達興業有限公司 ,"166,350.00",7
,,,
ACETOP PRECIOUS METALS LIMITED ,領峰貴金屬有限公司 ,"2,521,008.00",90
,,,
ACEWAY INDUSTRIES LIMITED ,駿偉實業有限公司 ,"528,000.00",20
,,,
ACF LOGISTICS LIMITED ,,"214,350.00",23
,,,
ACG ACCENT LIMITED ,,"54,000.00",2
,,,
