Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
,,,
SKY BLOOM LIMITED ,新寶達有限公司 ,"15,000.00",1
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
SKY BLUE INDUSTRIES LIMITED ,瑞朗實業有限公司 ,"22,500.00",1
,,,
SKY BRIGHT FAR EAST LIMITED ,天卓遠東有限公司 ,"49,500.00",3
,,,
SKY CARGO LOGISTICS LIMITED ,騰飛海空運有限公司 ,"36,000.00",2
,,,
SKY CHINAFORTUNE HOLDINGS GROUP LIMITED ,天禧海嘉控股集團有限公司,"189,000.00",7
,,,
SKY CHOICE CORPORATION LIMITED ,天選有限公司 ,"117,750.00",4
,,,
SKY DRAGON (CHINA) TRADING LIMITED ,建龍中國貿易有限公司 ,"27,000.00",1
,,,
SKY DRAGON ABALONE LIMITED ,天龍鮑魚有限公司 ,"81,000.00",3
,,,
SKY DRAGON ENGINEERING (HK)LIMITED ,天龍工程營造(香港)有限公司 ,"52,500.00",3
,,,
SKY EAGLE CHIN HUNG (SHENZHEN) TRANSPORTATION LTD ,深圳市天鷹展鴻運輸有限公司,"27,000.00",1
,,,
SKY ELEGANCE INTERNATIONAL LTD ,天秀國際有限公司 ,"205,200.00",8
,,,
SKY EMPIRE INVESTMENT LIMITED ,天御投資有限公司 ,"37,500.00",2
,,,
SKY ENGINEERING CO ,天富工程 ,"49,500.00",2
,,,
SKY EXPRESS ASIA LIMITED ,天進亞洲有限公司 ,"27,000.00",1
,,,
SKY GLORY PROPERTY MANAGEMENT LIMITED ,天頌物業管理有限公司 ,"27,000.00",1
,,,
SKY GLORY TRADING COMPANY LIMITED ,綽天貿易有限公司 ,"93,000.00",4
,,,
SKY GRAND DEVELOPMENT LIMITED ,,"36,000.00",2
,,,
SKY GROUP MANUFACTURE LTD ,樂天製造廠有限公司 ,"27,000.00",3
,,,
SKY HARBOUR (HONG KONG) LIMITED ,天豪(香港)有限公司 ,"137,481.00",6
,,,
SKY HIGH ENTERTAINMENT LIMITED ,天高娛樂有限公司 ,"103,500.00",4
,,,
SKY HILL INTERNATIONAL LIMITED ,天峰國際有限公司 ,"27,000.00",1
,,,
SKY HOPE MEDICAL CENTRE LIMITED ,天希醫療中心有限公司 ,"75,000.00",3
,,,
SKY KINDNESS COMPANY LIMITED ,天薈有限公司 ,"54,000.00",2
,,,
SKY KING LIMITED ,,"27,000.00",1
,,,
SKY LAND INTERNATIONAL LIMITED ,紀德國際有限公司 ,"64,500.00",3
,,,
SKY LIMITED ,,"23,250.00",1
,,,
SKY LINE CLEANING SERVICES CO LTD ,天行清潔服務有限公司 ,"87,180.00",6
,,,
SKY LINES LTD ,,"42,000.00",2
,,,
SKY LINKAGE LIMITED ,天成有限公司 ,"15,000.00",1
,,,
SKY MILLION CREDIT COMPANY LIMITED ,天億物業信貸有限公司 ,"81,000.00",3
,,,
SKY MOUNTAIN DEVELOPMENT LIMITED ,天山發展有限公司 ,"184,500.00",6
,,,
SKY MUSIC ,,"27,000.00",1
,,,
SKY PERFECT TECHNOLOGY LIMITED ,天邦科技有限公司 ,"54,000.00",2
,,,
SKY RICH PROPERTY CONSULTANT LIMITED ,天富物業顧問有限公司 ,"42,750.00",2
,,,
SKY SAIL LIMITED ,喜天有限公司 ,"179,250.00",7
,,,
SKY SHAPE LIMITED ,形天有限公司 ,"25,200.00",1
,,,
SKY TEAM ENTERTAINMENT LIMITED ,天盟娛樂有限公司 ,"144,000.00",6
,,,
SKY TOP ASIA PACIFIC LTD. ,天高亞太有限公司 ,"27,000.00",1
,,,
SKY TOP CAPITAL INVESTMENT LIMITED ,天高創富有限公司 ,"18,690.00",1
,,,
SKY TREASURE ENTERTAINMENT LIMITED ,天寶娛樂有限公司 ,"54,000.00",3
,,,
SKY TREND CPA LIMITED ,天正會計師事務所有限公司,"243,000.00",8
,,,
SKY UNION DEVELOPMENT (HK) LIMITED ,天聯發展(香港)有限公司 ,"27,000.00",1
,,,
SKY VENTURE MANAGEMENT LIMITED ,天俊管理有限公司 ,"54,000.00",2
,,,
SKY VICTORY TRADING LTD. ,兆宏貿易有限公司 ,"195,000.00",8
,,,
SKY VISION GROUP LIMITED ,順天食品製作有限公司 ,"66,750.00",3
,,,
SKY WATCH HONG KONG LIMITED ,天下鐘錶有限公司 ,"49,500.00",2
,,,
SKY WEAL LIMITED ,天益有限公司 ,"386,100.00",16
,,,
SKY WEALTH ASIA INVESTMENT LIMITED ,天裕亞太投資有限公司 ,"135,000.00",5
,,,
SKY WELL CAPITAL INVESTMENT LIMITED ,天佑創富有限公司 ,"19,608.00",1
,,,
SKY WISE CORPORATION LIMITED ,沃永有限公司 ,"162,000.00",6
,,,
SKY WORLD INTERNATIONAL (HK) CO ,天匯國際(香港)公司 ,"42,705.00",2
,,,
SKY YO INTERNATIONAL MANAGEMENT LIMITED ,天潤國際管理有限公司 ,"6,000.00",1
,,,
SKYBE LIMITED ,天熊創科集團有限公司 ,"135,000.00",5
,,,
SKYBLUE ENGINEERING (HONG KONG) LIMITED ,天藍工程(香港)有限公司 ,"106,950.00",5
,,,
SKYBOURNE MANAGEMENT LIMITED ,,"704,010.00",30
,,,
SKYCROWN DEVELOPMENT LIMITED ,天冠發展有限公司 ,"60,600.00",3
,,,
SKYFAIR TRADING LIMITED ,,"209,904.00",8
,,,
SKYFAME MANAGEMENT SERVICES LIMITED ,天譽管理服務有限公司 ,"398,202.00",15
,,,
SKYFRESH SERVICE COMPANY LIMITED ,天霖國際有限公司 ,"533,643.00",19
,,,
SKYGROUP LOGISTICS LIMITED ,天聯物流有限公司 ,"106,500.00",4
,,,
SKYHIGH INVESTMENT LIMITED ,,"27,000.00",1
,,,
SKYLAND MEGA TRADE LIMITED ,天地兆業有限公司 ,"1,083,540.00",45
,,,
SKY‐LIFE SCIENTIFIC LIMITED ,佳全生命科儀有限公司 ,"27,000.00",1
,,,
"SKYLIGHT PHARMACEUTICAL CO., LIMITED ",明日靈芝藥業有限公司 ,"87,927.00",4
,,,
SKYLINE BEAUTY CENTRE ,佳麗菀 ,"16,500.00",1
,,,
SKYLINE CREDIT LTD ,信嘉財務有限公司 ,"108,000.00",4
,,,
SKYLINE PHYSIOTHERAPY LIMITED ,東涌物理治療有限公司 ,"41,550.00",3
,,,
SKYLINE PRODUCTION HK LIMITED ,天映制作有限公司 ,"27,000.00",1
,,,
SKYLINE PRODUCTS LIMITED ,天際優品有限公司 ,"54,000.00",2
,,,
SKYLINK ONE LIMITED ,,"57,000.00",3
,,,
SKYLITE INDUSTRIAL CO LTD ,天澤實業有限公司 ,"54,000.00",2
,,,
SKYLONG INDUSTRIES LIMITED ,躍龍實業有限公司 ,"27,000.00",2
,,,
SKYLOOK INVESTMENT LTD ,天望投資有限公司 ,"27,000.00",1
,,,
SKYMAX ASIA LIMITED ,天溢亞洲有限公司 ,"70,050.00",3
,,,
SKYMAX GLOBAL LIMITED ,天溢環球有限公司 ,"40,500.00",2
,,,
SKYMONT CAPITAL LIMITED ,天山資本有限公司 ,"27,000.00",1
,,,
SKYMOS ELECTRONICS LIMITED ,是佳時電子有限公司 ,"79,650.00",3
,,,
SKYNET TECHNOLOGY INTERNATIONAL LIMITED ,天網科技國際有限公司 ,"24,750.00",1
,,,
SKYPOWER EMPLOYMENT CENTER ,天力僱傭中心 ,"27,000.00",1
,,,
SKYROCKET WEALTH MANAGEMENT ,杰翔財富管理 ,"49,950.00",2
,,,
SKYROY SERVICES LIMITED ,天和服務有限公司 ,"108,000.00",4
,,,
SKYTECH CREATIONS LIMITED ,天高創建有限公司 ,"280,500.00",11
,,,
SKYTECH ELECTRONICS (HK) LIMITED ,天恒電子(香港)有限公司 ,"27,000.00",1
,,,
SKYTEX (CHINA) LIMITED ,弘天(中國)有限公司 ,"81,000.00",4
,,,
SKYTEX CONSULTANT LIMITED ,天富達資訊顧問有限公司 ,"153,525.00",5
,,,
SKYTEX INTERNATIONAL LIMITED ,天富達國際有限公司 ,"688,995.00",29
,,,
SKYTON DEVELOPMENT LIMITED ,佳通發展有限公司 ,"157,500.00",6
,,,
SKYTON ELECTRONIC COMPONENTS LIMITED ,天創電子元件有限公司 ,"122,409.00",5
,,,
SKYTOP CORPORATION LIMITED ,擎天興業有限公司 ,"216,000.00",8
,,,
SKYTREND EMPLOYMENT AGENCY ,天峰僱傭中心 ,"46,443.00",2
,,,
SKYTRONIC (CHINA) LIMITED ,創天電子(中國)有限公司 ,"54,000.00",2
,,,
SKYVIEW INNOVATION & TECHNOLOGY COMPANY LIMITED ,翱視創新科技有限公司 ,"7,500.00",1
,,,
"SKYVIEW OPTICAL CO., LTD. ",視佳光學有限公司 ,"420,030.00",17
,,,
SKYWARDS TRAVEL LIMITED ,新怡旅遊有限公司 ,"499,959.00",21
,,,
SKYWARE PROTECH LIMITED ,嘉浦科技有限公司 ,"54,000.00",2
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
SKYWIND ENTERPRISES LIMITED ,佳宏企業有限公司 ,"1,280,820.00",62
,,,
SKYWORK INDUSTRIAL LIMITED ,天毅實業有限公司 ,"135,000.00",5
,,,
SKYWRITE PRODUCTION LTD ,天繪製作有限公司 ,"108,000.00",4
,,,
SL CONSULTANT COMPANY LIMITED ,思量顧問有限公司 ,"27,000.00",1
,,,
SL IBUDDIES HOLDING COMPANY LIMITED ,艾拔斯控股有限公司 ,"184,245.00",8
,,,
SL WAREHOUSE LIMITED ,栢誠倉儲有限公司 ,"324,000.00",13
,,,
SLASH CONSULTANCY LIMITED ,,"49,500.00",2
,,,
SLEEPHERE HK LIMITED ,,"54,000.00",2
,,,
SLIME IT LTD. ,,"22,500.00",1
,,,
SLJ INTERNATIONAL DEVELOPMENT COMPANY LIMITED ,雙龍健國際發展有限公司 ,"27,000.00",1
,,,
SLK DESIGN LIMITED ,立基設計有限公司 ,"75,000.00",3
,,,
SLK TECHNOLOGY LIMITED ,新龍基科技有限公司 ,"45,000.00",2
,,,
SLS CAPITAL LIMITED ,,"93,000.00",4
,,,
SMALL DOT TRADING COMPANY LIMITED ,小點貿易有限公司 ,"54,000.00",2
,,,
SMALL TOYS VENDING SUPPLY CO LTD ,利佳玩具有限公司 ,"412,695.00",16
,,,
SMALL WORLD SHIPPING COMPANY LIMITED ,駿洋國際貨運有限公司 ,"207,000.00",8
,,,
SMARKY LIMITED ,帳篷皇有限公司 ,"34,500.00",2
,,,
SMART ACCOUNTING MANAGEMENT LIMITED ,卓迅會計顧問有限公司 ,"81,000.00",3
,,,
SMART BEAUTY ,,"54,000.00",2
,,,
SMART BEST ( HK) LIMITED ,智通(香港)有限公司 ,"58,800.00",5
,,,
SMART BILLION TRADING LIMITED ,俊億貿易有限公司 ,"27,000.00",1
,,,
SMART CHINESE INVESTMENT LIMITED ,華雄投資有限公司 ,"122,091.00",8
,,,
SMART CHOICE INTERNATIONAL GROUP LTD. ,儷進行國際(集團)有限公司 ,"184,392.00",11
,,,
SMART CHOICE STORE COMPANY LIMITED ,才智商店有限公司 ,"108,000.00",4
,,,
SMART CIRCUIT INDUSTRIAL LIMITED ,先駿實業有限公司 ,"27,000.00",2
,,,
SMART CONCEPT GROUP LTD ,領先集團有限公司 ,"207,000.00",8
,,,
SMART CONTRACTING COMPANY LIMITED ,新藝裝飾工程有限公司 ,"60,000.00",3
,,,
SMART DATA INSTITUTE LIMITED ,滙智研究所有限公司 ,"81,000.00",3
,,,
SMART DECISIONS INTERNATIONAL LIMITED ,,"81,000.00",3
,,,
SMART EAGLE SOURCING LIMITED ,,"108,000.00",4
,,,
SMART EDUCATION CHARITABLE FOUNDATION LTD ,聰穎教育慈善基金有限公司,"44,952.00",2
,,,
SMART EDUCATION CO LTD ,聰穎教育有限公司 ,"319,500.00",14
,,,
SMART ENGINEERING (HK ) LIMITED ,俊誠工程(香港)有限公司 ,"156,216.00",19
,,,
SMART FIELD ( CHINA ) LIMITED ,駿發(中國)有限公司 ,"54,000.00",2
,,,
SMART FIRST INTERNATIONAL LIMITED ,益豪國際有限公司 ,"21,000.00",1
,,,
SMART FIRST LTD. ,先俊有限公司 ,"108,000.00",4
,,,
SMART GRAND MOBILE LIMITED ,浩俊移動有限公司 ,"34,125.00",2
,,,
SMART GREAT INTERNATIONAL LIMITED ,俊軒國際有限公司 ,"407,535.00",15
,,,
SMART HEALTH CO. LTD ,智健康文化有限公司 ,"50,550.00",3
,,,
SMART HOME PROFESSIONAL SERVICES LIMITED ,智舒適家居服務有限公司 ,"166,212.00",12
,,,
SMART INDUSTRIAL GROUP LIMITED ,逸朗工業集團有限公司 ,"33,000.00",2
,,,
SMART INNOVATION LIMITED ,僖豐國際有限公司 ,"54,000.00",2
,,,
SMART INTEGRATION COMPANY ,智慧集成公司 ,"54,000.00",2
,,,
SMART JOIN ENTERPRISES LTD ,智聯企業有限公司 ,"189,000.00",7
,,,
"SMART KEY INTERNATIONAL CONSULTANT CO., LTD. ",集思國際顧問有限公司 ,"799,545.00",30
,,,
SMART KEY INTERNATIONAL TRADING LIMITED ,精益國際貿易有限公司 ,"57,000.00",3
,,,
SMART KIDDO EDUCATION LTD ,智科教育有限公司 ,"85,950.00",4
,,,
SMART LEARNING (HK) LIMITED ,樂研教育(香港)有限公司 ,"55,854.00",3
,,,
SMART LEGEND LIMITED ,智理有限公司 ,"39,450.00",2
,,,
SMART LINKS(HK) COMPANY LIMITED ,俊賢匯(香港)有限公司 ,"27,000.00",1
,,,
SMART MARKETING SERVICES ,,"83,190.00",7
,,,
SMART MAX FOOD TRADING LIMITED ,明溢食品貿易有限公司 ,"97,650.00",5
,,,
SMART MONEY INVESTMENT LIMITED ,聰明錢有限公司 ,"54,000.00",3
,,,
SMART MOTORS BEAUTY LIMITED ,駿藝汽車美容有限公司 ,"48,000.00",3
,,,
SMART ON PAPER PRODUCTS CO LTD ,,"76,500.00",4
,,,
SMART POWER (H.K.) LIMITED ,卓信(香港)有限公司 ,"54,000.00",2
,,,
SMART PRINTING PRODUCTS COMPANY LIMITED ,中華印品有限公司 ,"27,000.00",1
,,,
SMART PRODUCTION LIMITED ,,"15,000.00",1
,,,
SMART PROFIT MAX LIMITED ,,"205,995.00",6
,,,
SMART RICH TRADING COMPANY ,智富貿易公司 ,"27,000.00",2
,,,
SMART RICHLY DEVELOPMENT LIMITED ,卓裕發展有限公司 ,"108,000.00",3
,,,
SMART SERVICE LOGISTICS LIMITED ,新東欣國際物流有限公司 ,"159,465.00",6
,,,
SMART SHINE INTERNATIONAL LIMITED ,智意國際有限公司 ,"182,850.00",8
,,,
SMART SOLUTION LIMITED ,智科系統有限公司 ,"108,000.00",5
,,,
SMART SOUP CATERING LTD ,靚湯工房飲食有限公司 ,"376,365.00",26
,,,
SMART STREAMING LIMITED ,,"189,000.00",7
,,,
SMART SUCCESS INTERNATIONAL ENTERPRISES LIMITED ,駿勝國際企業有限公司 ,"108,000.00",4
,,,
SMART TALENT CAPITAL INVESTMENT LIMITED ,福俊創富有限公司 ,"27,000.00",1
,,,
SMART TALENT SPORTS ,昇毅體育 ,"27,000.00",1
,,,
SMART TEAM EMPLOYMENT AGENCY CENTER COMPANY LIMITED ,明智僱傭中心有限公司 ,"94,275.00",4
,,,
SMART TEAM FINANCE LIMITED ,俊滙財務有限公司 ,"67,500.00",3
,,,
SMART TEAM INDUSTRIAL (HK) LIMITED ,盛天實業(香港)有限公司 ,"54,000.00",2
,,,
SMART ‐TECH ELECTRONICS ,,"27,000.00",1
,,,
SMART TIME INDUSTRIAL LIMITED ,智時實業有限公司 ,"22,500.00",1
,,,
SMART TIMING LIMITED ,峻時有限公司 ,"54,000.00",2
,,,
SMART TIMING STEEL LIMITED ,峻時鋼鐵有限公司 ,"286,695.00",11
,,,
SMART TONE INTERNATIONAL LIMITED ,俊麗國際有限公司 ,"162,000.00",6
,,,
SMART TOO CO LIMITED ,奕揚國際貿易有限公司 ,"20,250.00",1
,,,
SMART TOP (CHINA) LIMITED ,駿得(中國)有限公司 ,"349,011.00",11
,,,
SMART TREND ENTERPRISES COMPANY LIMITED ,駿達企業控股有限公司 ,"216,000.00",9
,,,
SMART UNION (HONG KONG) DEVELOPMENT LIMITED ,華匯香港發展有限公司 ,"81,000.00",3
,,,
SMART UNION PROPERTIES LIMITED ,智盈地產有限公司 ,"72,000.00",3
,,,
SMART VITAL COMPANY LIMITED ,優爾(香港)有限公司 ,"54,000.00",2
,,,
SMART VOICE LIMITED ,俊鏗有限公司 ,"10,500.00",1
,,,
SMART WATER ASIA LIMITED ,,"47,250.00",3
,,,
SMART WAY GROUP LTD ,智鴻控股有限公司 ,"81,000.00",3
,,,
SMART WEALTH CONSTRUCTION COMPANY LIMITED ,駿裕建築工程有限公司 ,"365,118.00",14
,,,
SMART WILL LEATHERWARES MANUFACTORY LTD ,卓志皮具有限公司 ,"54,000.00",2
,,,
SMART WIN ENGINEERING & TUNNELLING LIMITED ,俊榮隧道工程有限公司 ,"108,000.00",8
,,,
SMART WIN SHIPPING (HK) LIMITED ,智勝船務香港有限公司 ,"186,000.00",7
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
SMART YIELD TRADING LIMITED ,卓耀貿易有限公司 ,"42,000.00",2
,,,
SMARTBAY LIMITED ,,"54,000.00",2
,,,
SMARTBLKTRADE LTD ,智貿通有限公司 ,"27,000.00",1
,,,
SMARTCHEM ASIA PACIFIC LIMITED ,卓越亞太有限公司 ,"27,000.00",1
,,,
SMARTCO CPA CO. ,,"27,000.00",1
,,,
SMARTEAM LINRY INTERNATIONAL BUSINESS LIMITED ,駿豐聯銳國際商務有限公司,"54,000.00",2
,,,
SMARTECH INTERNATIONAL LTD. ,宏迪科技國際有限公司 ,"34,500.00",2
,,,
SMARTECH INTERNATIONAL MARKETING LIMITED ,浚達國際市務有限公司 ,"282,081.00",14
,,,
SMARTECH SERVICES LIMITED ,滙科資源有限公司 ,"297,000.00",12
,,,
SMARTEK E&M ENGINEERING (HK) LIMITED ,駿達機電工程(香港)有限公司 ,"262,500.00",11
,,,
SMARTEN TECHNOLOGY DEVELOPMENT LIMITED ,睿智科技發展有限公司 ,"106,200.00",4
,,,
SMARTER NETWORK LIMITED ,,"301,347.00",13
,,,
SMARTEX (ASIA) LTD. ,興佳(亞洲)有限公司 ,"54,000.00",2
,,,
SMARTEX INDUSTRIES LIMITED ,,"135,000.00",5
,,,
SMARTEX INTERNATIONAL LIMITED ,品高國際貿易有限公司 ,"181,005.00",7
,,,
SMARTFIELD INTERNATIONAL DEVELOPMENT LIMITED ,新馬國際發展有限公司 ,"54,000.00",2
,,,
SMARTGEARS GLOBAL LTD. ,智高環球有限公司 ,"156,750.00",6
,,,
SMART‐INFO TECHNOLOGY LIMITED ,凝力科技有限公司 ,"109,500.00",15
,,,
SMARTIST LEARNING CENTER ,聰明豆教室 ,"27,000.00",2
,,,
SMARTJET TCM CLINIC ,浩正堂中醫診療中心 ,"19,500.00",1
,,,
SMARTKNIT INTERNATIONAL LIMITED ,滙圖國際集團有限公司 ,"122,250.00",7
,,,
SMARTMYWAYS CO LTD ,,"107,739.00",4
,,,
SMARTPLAY LIMITED ,,"477,048.00",18
,,,
SMARTWILL CORPORATION LIMITED ,傑圖有限公司 ,"81,000.00",3
,,,
SMARTWILL DEVELOPMENT LIMITED ,俊匯發展有限公司 ,"185,400.00",8
,,,
SMARTWILL INTERNATIONAL GROUP LIMITED ,宜高國際集團有限公司 ,"27,000.00",1
,,,
SMARTY TOP LIMITED ,均昇有限公司 ,"400,425.00",16
,,,
SMERP TECHNOLOGY LIMITED ,時脈科技有限公司 ,"81,000.00",3
,,,
SMILE AND FACE HONG KONG LIMITED ,,"162,375.00",7
,,,
SMILE DENTAL CLINIC LIMITED ,明德牙科診所有限公司 ,"48,000.00",2
,,,
SMILE DRAGON INTERNATIONAL LIMITED ,龍欣國際有限公司 ,"81,000.00",3
,,,
SMILE MANAGEMENT COMPANY ,,"21,000.00",1
,,,
SMILE WITH US HK LIMITED ,一起微笑有限公司 ,"22,500.00",1
,,,
SMILEFUL (H.K.) GARMENT ACCESSORIES COMPANY LIMITED ,多悅(香港)服飾有限公司 ,"103,752.00",5
,,,
SMILEFUL INTERNATIONAL GARMENT ACCESSORIES LIMITED ,多悅國際服飾有限公司 ,"81,000.00",3
,,,
SMILES DENTAL CENTRE LIMITED ,齒健牙科醫務中心有限公司,"118,098.00",7
,,,
SMILEY PLANET COMPANY LIMITED ,,"67,500.00",3
,,,
SMITHFIELD COLLECTIVE LIMITED ,,"27,000.00",1
,,,
SMOOTH & WELL LIMITED ,僑順有限公司 ,"27,000.00",1
,,,
SMOOTH LINK GLOBAL LOGISTICS LIMITED ,世譽環球物流有限公司 ,"37,500.00",2
,,,
SMOOTH ONWARDS LIMITED ,承順有限公司 ,"6,000.00",1
,,,
SMOOTH VOYAGE LIMITED ,航浚有限公司 ,"42,000.00",2
,,,
SMP CONSTRUCTION LIMITED ,日峰工程有限公司 ,"27,000.00",1
,,,
SMP GLOBAL LIMITED ,日峰環球有限公司 ,"23,250.00",1
,,,
SMT GLOBAL LOGISTICS LTD ,全球通航運物流有限公司 ,"982,806.00",40
,,,
SMT HONG KONG LIMITED ,宏揚科技有限公司 ,"243,000.00",9
,,,
"SNACK SNACK CO., LIMITED ",零零食有限公司 ,"21,000.00",2
,,,
SNACK WONG LIMITED ,零食皇有限公司 ,"158,250.00",9
,,,
SNAGR LIMITED ,,"189,000.00",7
,,,
SNAIL ,善域設計工程公司 ,"27,000.00",1
,,,
SNAP CREDIT INTERNATIONAL LIMITED ,迅立信貸(國際)有限公司 ,"54,000.00",2
,,,
SNEAKER SURGE HK ,,"63,000.00",3
,,,
SNOOKER ONE LIMITED ,新天地桌球城有限公司 ,"107,550.00",8
,,,
SNOW GARDEN INTERNATIONAL DEVELOPMENT LIMITED ,飄雪國際發展有限公司 ,"54,000.00",2
,,,
SNOW STORY LIMITED ,,"19,500.00",1
,,,
SNYOU TRAVEL CONSULTANT LIMITED ,盛游旅遊顧問有限公司 ,"45,000.00",2
,,,
SO DELICIOUS LIMITED ,阿蘇小吃有限公司 ,"27,000.00",1
,,,
"SO KEE (HK) CO., LIMITED ",蘇記(香港)有限公司 ,"81,000.00",4
,,,
SO KEE ENGINEERING ,蘇記工程 ,"30,000.00",2
,,,
SO KEE METAL BEARING INTERNATIONAL LIMITED ,蘇記五金啤令國際有限公司,"23,625.00",1
,,,
SO WINES COMPANY LIMITED ,,"19,500.00",1
,,,
SOAON HOLDING LTD ,蘇昂集團有限公司 ,"194,700.00",9
,,,
SOAP CYCLING LIMITED ,,"103,500.00",4
,,,
SOAP INDUSTRY ,,"275,817.00",11
,,,
SOAP MUM GROUP COMPANY LIMITED ,平凡媽媽集團有限公司 ,"611,307.00",23
,,,
SOAP STUDIO COMPANY LIMITED ,肥皂遊製作有限公司 ,"432,000.00",15
,,,
SOAR EDUCATION LIMITED ,翱翔教育有限公司 ,"69,450.00",3
,,,
SOARASAIL INTERNATIONAL LOGISTICS LIMITED ,傲翔國際物流有限公司 ,"108,000.00",4
,,,
SOARING SKY ENVIRONMENTAL LIMITED ,天翱環境有限公司 ,"72,000.00",5
,,,
SOBEN INTERNATIONAL (ASIA PACIFIC) LIMITED ,,"95,400.00",4
,,,
SOCIAL BIG DATA LIMITED ,,"1,046,550.00",40
,,,
SOCIAL ENTERPRISE INNOVATIONS LIMITED ,,"132,450.00",7
,,,
SOCIALINK CONSULTANCY LIMITED ,,"152,634.00",7
,,,
SOCIEM LIMITED ,,"27,000.00",1
,,,
SOCIETY OF PASTORAL CARE COMPANY LIMITED ,牧群關愛會有限公司 ,"241,917.00",10
,,,
SOCIF LIMITED ,,"108,000.00",4
,,,
SOCIUS ASSET MANAGEMENT LIMITED ,睿哲資產管理有限公司 ,"54,000.00",2
,,,
SOCO TEXTILES COMPANY LIMITED ,,"82,500.00",4
,,,
SO‐EN BEAUTY LIMITED ,姿式堂美容坊有限公司 ,"39,000.00",2
,,,
SOFAER ADMINISTRATION LIMITED ,,"27,000.00",2
,,,
SOFTBRAIN TECHNOLOGY LIMITED ,軟智科技有限公司 ,"108,000.00",4
,,,
SOFTWARE AG (HONG KONG) LIMITED ,賽克科技有限公司 ,"324,000.00",12
,,,
SOFTWARE FORCE ,軟件動力 ,"80,169.00",4
,,,
SOGNARE GLOBAL LIMITED ,瑞夢環球有限公司 ,"27,000.00",1
,,,
SOHO CREATION ,蘇豪珠寶公司 ,"54,000.00",2
,,,
SOHO PROMOTION LIMITED ,蘇豪推廣有限公司 ,"19,650.00",1
,,,
SOHO TIME ,,"129,750.00",5
,,,
SOIL SERVICES TESTING COMPANY LIMITED ,土質試驗有限公司 ,"449,250.00",17
,,,
SOIL TO SOUL CONCEPTS LIMITED ,,"270,000.00",10
,,,
SO‐IN BRIGHT EDUCATION CENTRE LIMITED ,數研陽光教育中心有限公司,"48,000.00",2
,,,
SO‐IN BRILLIANCE EDUCATION CENTRE ,數研卓穎教育中心 ,"291,990.00",13
,,,
Employer name (English) / 僱主名稱 (英文) Employer name (Chinese) / 僱主名稱 (中文) Wage subsidy amount (June ‐ August Committed headcount under payroll / 2020) / 工資補貼金額 (2020年6月至8月) 承諾受薪僱員人數 ,,,
,,,
SO‐IN CAUSEWAY BAY EDUCATION CENTRE LIMITED ,數研銅鑼灣教育中心有限公司,"109,893.00",6
,,,
SO‐IN EDUCATION GROUP LIMITED ,數研教育機構有限公司 ,"48,522.00",2
,,,
SO‐IN JOYFUL EDUCATION CENTRE LIMITED ,數研禮樂教育中心有限公司,"324,000.00",13
,,,
SO‐IN WISDOM EDUCATION CENTRE LIMITED ,數研銘智教育中心有限公司,"195,189.00",9
,,,
SOKEN TECH (HK) LTD ,創硏科技(香港)有限公司 ,"180,000.00",7
,,,
SOL AIR LTD ,,"54,000.00",2
,,,
SOL EDUCATION HONG KONG LIMITED ,,"124,368.00",6
,,,
SOLANUM SHOES LIMITED ,,"54,000.00",2
,,,
SOLAR BEAUTY LIMITED ,美麗陽光有限公司 ,"56,994.00",3
,,,
SOLAR DIGITAL TECHNOLOGY LIMITED ,索能數碼科技有限公司 ,"94,500.00",5
,,,
SOLAR MART LIMITED ,揚萬有限公司 ,"499,689.00",28
,,,
SOLAR POINT LIMITED ,日都有限公司 ,"22,500.00",1
,,,
SOLAR TIME LIMITED ,蘇拿太有限公司 ,"1,711,800.00",69
,,,
SOLAR TRADERS LIMITED ,,"51,750.00",2
,,,
SOLARIS INDUSTRIES GROUP LIMITED ,新文越實業集團有限公司 ,"135,000.00",5
,,,
SOLARIS PROPERTIES MANAGEMENT LIMITED ,新越物業管理有限公司 ,"27,000.00",1
,,,
SOLAR‐MED LIMITED ,鴻日醫療有限公司 ,"767,886.00",28
,,,
SOLARPIKE COMPANY LIMITED ,旭峰設備有限公司 ,"54,000.00",2
,,,
SOLEIL MARKETING COMPANY LIMITED ,盛暉市場推廣有限公司 ,"27,000.00",1
,,,
SOLERA (H.K.) LIMITED ,穌利亞(香港)有限公司 ,"81,000.00",3
,,,
